coefficients_objectif,matrice_contraintes,borne_contraintes,solution,z_optimal
"[75, 40]","[2, 88, 27, 46, 67, 73]","[39, 146, 62]","[0.9, 0.0]",69
"[82, 48]","[61, 84, 35, 2, 95, 55]","[113, 116, 130]","[1.0, 0.6]",113
"[42, 28]","[57, 1, 25, 76, 18, 22]","[99, 91, 39]","[1.7, 0.4]",83
"[56, 48]","[52, 33, 64, 15, 58, 35]","[111, 13, 73]","[0.0, 0.9]",42
"[73, 42]","[50, 34, 58, 13, 54, 8]","[103, 8, 110]","[0.0, 0.6]",26
"[78, 96]","[53, 50, 47, 35, 15, 52]","[7, 86, 111]","[0.0, 0.1]",13
"[16, 62]","[97, 70, 22, 81, 55, 89]","[10, 56, 95]","[0.0, 0.1]",9
"[8, 39]","[37, 4, 59, 20, 65, 76]","[97, 125, 129]","[0.0, 1.7]",66
"[16, 15]","[23, 39, 34, 82, 61, 57]","[145, 55, 148]","[1.6, 0.0]",26
"[58, 8]","[19, 74, 32, 26, 37, 96]","[130, 70, 59]","[1.6, 0.0]",92
"[11, 72]","[42, 81, 100, 28, 65, 85]","[34, 80, 142]","[0.0, 0.4]",30
"[32, 30]","[64, 48, 83, 90, 71, 27]","[128, 108, 42]","[0.2, 1.0]",37
"[30, 14]","[13, 62, 2, 91, 22, 8]","[31, 49, 40]","[1.8, 0.1]",55
"[42, 100]","[75, 96, 16, 62, 93, 75]","[48, 53, 53]","[0.0, 0.5]",50
"[61, 29]","[23, 67, 48, 59, 77, 90]","[147, 118, 68]","[0.9, 0.0]",54
"[63, 81]","[10, 78, 91, 86, 9, 54]","[92, 115, 140]","[0.2, 1.2]",104
"[65, 72]","[85, 7, 54, 37, 21, 5]","[81, 130, 34]","[0.0, 3.5]",253
"[27, 67]","[30, 54, 81, 65, 58, 78]","[11, 73, 57]","[0.0, 0.2]",14
"[100, 62]","[38, 59, 41, 37, 21, 42]","[112, 111, 7]","[0.3, 0.0]",33
"[99, 4]","[69, 69, 30, 8, 95, 61]","[20, 71, 90]","[0.3, 0.0]",29
"[54, 42]","[9, 50, 8, 59, 3, 77]","[119, 126, 29]","[9.7, 0.0]",522
"[93, 45]","[95, 54, 42, 65, 49, 24]","[69, 106, 150]","[0.7, 0.0]",68
"[40, 7]","[64, 6, 72, 89, 64, 3]","[117, 55, 112]","[0.8, 0.0]",31
"[59, 27]","[42, 95, 68, 62, 26, 19]","[39, 38, 92]","[0.6, 0.0]",33
"[46, 22]","[83, 16, 78, 65, 72, 21]","[47, 113, 114]","[0.3, 1.4]",44
"[72, 15]","[43, 28, 77, 11, 40, 20]","[91, 144, 65]","[1.6, 0.0]",117
"[19, 56]","[22, 26, 68, 45, 19, 60]","[131, 31, 124]","[0.0, 0.7]",39
"[75, 52]","[68, 86, 98, 22, 62, 35]","[99, 60, 66]","[0.4, 0.8]",74
"[85, 54]","[75, 54, 56, 42, 16, 87]","[49, 92, 40]","[0.7, 0.0]",56
"[47, 39]","[64, 77, 46, 21, 72, 89]","[113, 91, 27]","[0.4, 0.0]",18
"[31, 98]","[30, 89, 19, 61, 75, 34]","[73, 83, 45]","[0.0, 0.8]",80
"[85, 34]","[63, 59, 95, 33, 89, 57]","[36, 33, 19]","[0.2, 0.0]",18
"[86, 100]","[96, 68, 61, 46, 94, 26]","[145, 11, 133]","[0.0, 0.2]",24
"[81, 60]","[30, 31, 84, 47, 30, 48]","[96, 19, 9]","[0.2, 0.1]",19
"[12, 82]","[85, 22, 55, 20, 4, 86]","[46, 128, 38]","[0.4, 0.4]",40
"[69, 87]","[81, 45, 5, 50, 60, 50]","[116, 52, 24]","[0.0, 0.5]",42
"[36, 82]","[66, 51, 44, 18, 53, 98]","[135, 60, 135]","[0.0, 1.4]",113
"[35, 74]","[9, 6, 91, 81, 75, 64]","[95, 22, 60]","[0.0, 0.3]",20
"[9, 26]","[100, 33, 71, 59, 17, 11]","[89, 27, 39]","[0.0, 0.5]",12
"[28, 11]","[49, 48, 2, 75, 73, 44]","[25, 92, 106]","[0.5, 0.0]",14
"[31, 65]","[6, 39, 45, 2, 96, 99]","[97, 107, 110]","[0.0, 1.1]",72
"[13, 90]","[38, 37, 31, 2, 38, 84]","[101, 75, 71]","[0.0, 0.8]",76
"[77, 100]","[90, 23, 53, 92, 53, 17]","[113, 114, 42]","[0.5, 1.0]",133
"[70, 79]","[51, 17, 20, 45, 30, 44]","[141, 101, 46]","[1.5, 0.0]",107
"[22, 68]","[8, 35, 83, 53, 36, 13]","[23, 35, 148]","[0.0, 0.7]",45
"[78, 26]","[67, 41, 41, 25, 54, 86]","[12, 6, 149]","[0.1, 0.0]",11
"[75, 67]","[11, 43, 1, 79, 74, 60]","[129, 145, 130]","[0.3, 1.8]",143
"[19, 66]","[91, 76, 33, 22, 92, 65]","[37, 120, 113]","[0.0, 0.5]",32
"[12, 95]","[24, 70, 59, 91, 11, 3]","[17, 49, 51]","[0.0, 0.2]",23
"[14, 68]","[65, 4, 86, 12, 74, 65]","[115, 135, 137]","[0.0, 2.1]",143
"[14, 39]","[54, 18, 84, 85, 2, 16]","[99, 4, 36]","[0.0, 0.0]",2
"[43, 63]","[45, 92, 3, 92, 58, 30]","[126, 78, 5]","[0.0, 0.2]",10
"[47, 51]","[14, 37, 36, 73, 91, 93]","[43, 121, 123]","[0.3, 1.1]",67
"[25, 31]","[16, 81, 97, 16, 57, 10]","[30, 76, 7]","[0.1, 0.4]",13
"[98, 13]","[50, 76, 100, 56, 29, 26]","[145, 144, 127]","[1.4, 0.0]",141
"[21, 56]","[53, 48, 98, 36, 32, 24]","[22, 92, 43]","[0.0, 0.5]",26
"[8, 24]","[31, 90, 20, 60, 31, 37]","[42, 125, 83]","[0.0, 0.5]",11
"[74, 22]","[18, 91, 44, 72, 66, 35]","[105, 3, 147]","[0.1, 0.0]",5
"[93, 10]","[73, 74, 47, 87, 80, 76]","[52, 98, 17]","[0.2, 0.0]",20
"[6, 56]","[90, 13, 34, 81, 55, 64]","[19, 86, 145]","[0.0, 1.1]",59
"[85, 95]","[95, 5, 79, 58, 39, 9]","[125, 44, 114]","[0.0, 0.8]",72
"[64, 52]","[28, 98, 32, 65, 94, 36]","[128, 146, 76]","[0.3, 1.2]",85
"[46, 87]","[46, 28, 66, 40, 72, 14]","[69, 35, 87]","[0.0, 0.9]",76
"[3, 87]","[19, 38, 24, 79, 49, 89]","[16, 15, 91]","[0.0, 0.2]",17
"[26, 73]","[23, 23, 71, 92, 70, 24]","[121, 86, 61]","[0.0, 0.9]",68
"[65, 75]","[14, 48, 47, 47, 2, 9]","[33, 122, 108]","[2.4, 0.0]",153
"[22, 72]","[8, 53, 82, 48, 34, 6]","[10, 112, 119]","[1.2, 0.0]",28
"[74, 68]","[38, 37, 46, 31, 10, 79]","[131, 51, 115]","[0.1, 1.4]",108
"[46, 10]","[84, 62, 37, 85, 82, 59]","[11, 73, 148]","[0.1, 0.0]",6
"[23, 11]","[39, 21, 95, 19, 21, 86]","[116, 133, 27]","[1.3, 0.0]",30
"[20, 72]","[6, 18, 96, 16, 26, 77]","[114, 70, 21]","[0.0, 0.3]",20
"[31, 85]","[42, 45, 70, 11, 17, 28]","[51, 58, 8]","[0.0, 0.3]",24
"[84, 12]","[88, 85, 38, 79, 48, 38]","[115, 65, 138]","[1.3, 0.0]",110
"[4, 47]","[65, 70, 43, 92, 91, 99]","[61, 118, 62]","[0.0, 0.6]",29
"[19, 25]","[32, 94, 87, 70, 16, 34]","[80, 78, 36]","[0.3, 0.8]",24
"[33, 97]","[96, 93, 48, 85, 91, 28]","[65, 150, 112]","[0.0, 0.7]",68
"[58, 72]","[34, 85, 31, 40, 22, 79]","[48, 108, 44]","[1.4, 0.0]",82
"[34, 51]","[2, 10, 35, 94, 69, 32]","[122, 22, 140]","[0.6, 0.0]",21
"[61, 79]","[50, 92, 50, 73, 99, 9]","[128, 137, 121]","[1.2, 0.8]",131
"[84, 92]","[45, 45, 18, 71, 38, 19]","[23, 26, 68]","[0.2, 0.3]",45
"[49, 40]","[72, 13, 98, 23, 51, 58]","[100, 88, 54]","[0.9, 0.2]",49
"[34, 11]","[3, 99, 35, 66, 86, 91]","[140, 110, 67]","[0.8, 0.0]",26
"[16, 11]","[57, 48, 67, 47, 14, 87]","[94, 89, 3]","[0.2, 0.0]",3
"[92, 38]","[70, 79, 38, 5, 52, 43]","[74, 8, 91]","[0.1, 0.8]",41
"[43, 66]","[11, 91, 77, 40, 50, 79]","[39, 19, 43]","[0.0, 0.4]",29
"[97, 47]","[6, 26, 53, 86, 56, 21]","[81, 52, 94]","[1.0, 0.0]",95
"[74, 20]","[77, 88, 96, 50, 88, 36]","[4, 87, 53]","[0.1, 0.0]",4
"[85, 58]","[42, 68, 16, 56, 56, 12]","[114, 79, 116]","[2.0, 0.5]",194
"[93, 59]","[63, 16, 61, 82, 48, 46]","[145, 85, 121]","[1.4, 0.0]",130
"[70, 75]","[100, 10, 43, 37, 50, 7]","[53, 81, 119]","[0.0, 2.2]",164
"[37, 14]","[30, 23, 29, 69, 96, 57]","[131, 30, 41]","[0.4, 0.0]",16
"[43, 55]","[5, 81, 13, 73, 74, 82]","[10, 116, 125]","[1.7, 0.0]",73
"[81, 94]","[44, 84, 56, 51, 6, 81]","[115, 39, 48]","[0.2, 0.6]",68
"[63, 31]","[42, 79, 93, 8, 92, 71]","[108, 15, 65]","[0.1, 0.8]",31
"[6, 42]","[49, 35, 78, 78, 87, 3]","[125, 139, 43]","[0.0, 1.8]",75
"[72, 87]","[69, 20, 8, 20, 99, 98]","[150, 118, 143]","[0.0, 1.5]",127
"[18, 56]","[33, 5, 31, 20, 8, 54]","[64, 116, 3]","[0.4, 0.0]",7
"[27, 29]","[32, 15, 65, 6, 47, 66]","[4, 143, 20]","[0.0, 0.3]",8
"[53, 1]","[96, 49, 68, 55, 44, 51]","[109, 95, 4]","[0.1, 0.0]",5
"[18, 37]","[49, 97, 15, 55, 5, 30]","[73, 97, 11]","[1.1, 0.2]",27
"[34, 81]","[51, 96, 13, 29, 41, 38]","[8, 53, 111]","[0.0, 0.1]",7
"[90, 69]","[66, 2, 35, 99, 88, 15]","[132, 143, 78]","[0.7, 1.2]",144
"[52, 46]","[97, 69, 10, 72, 79, 19]","[59, 48, 127]","[0.1, 0.6]",37
"[48, 26]","[65, 71, 53, 57, 66, 98]","[44, 104, 42]","[0.6, 0.0]",31
"[5, 79]","[43, 81, 88, 74, 71, 6]","[112, 50, 30]","[0.0, 0.7]",53
"[48, 62]","[60, 91, 89, 39, 50, 59]","[99, 79, 30]","[0.0, 0.5]",32
"[61, 96]","[58, 24, 74, 70, 65, 24]","[30, 133, 11]","[0.0, 0.5]",44
"[64, 49]","[85, 22, 12, 73, 15, 52]","[110, 70, 102]","[1.1, 0.8]",108
"[20, 87]","[61, 13, 8, 66, 60, 49]","[135, 9, 39]","[0.6, 0.1]",18
"[69, 49]","[51, 54, 2, 60, 36, 6]","[60, 57, 65]","[1.2, 0.0]",81
"[55, 22]","[44, 53, 73, 9, 21, 30]","[17, 46, 30]","[0.4, 0.0]",21
"[30, 7]","[99, 56, 58, 93, 45, 98]","[34, 97, 130]","[0.3, 0.0]",10
"[21, 63]","[35, 79, 99, 28, 41, 51]","[61, 115, 115]","[0.0, 0.8]",49
"[93, 66]","[64, 39, 78, 26, 61, 43]","[26, 21, 28]","[0.0, 0.7]",43
"[54, 67]","[45, 46, 90, 64, 52, 33]","[141, 47, 116]","[0.0, 0.7]",49
"[20, 94]","[83, 84, 32, 33, 10, 89]","[63, 44, 4]","[0.4, 0.0]",8
"[12, 70]","[3, 18, 55, 81, 61, 30]","[23, 29, 71]","[0.0, 0.4]",25
"[3, 73]","[60, 97, 37, 95, 82, 98]","[94, 8, 17]","[0.0, 0.1]",6
"[41, 62]","[85, 88, 78, 100, 3, 64]","[111, 126, 102]","[0.0, 1.3]",78
"[22, 11]","[90, 22, 88, 38, 20, 70]","[78, 72, 111]","[0.2, 1.5]",20
"[100, 22]","[9, 77, 46, 40, 65, 38]","[47, 118, 6]","[0.1, 0.0]",9
"[84, 45]","[100, 77, 72, 51, 65, 10]","[4, 34, 144]","[0.0, 0.0]",3
"[58, 30]","[49, 58, 47, 46, 71, 20]","[62, 118, 72]","[0.9, 0.3]",63
"[42, 99]","[75, 76, 66, 80, 11, 58]","[34, 79, 127]","[0.0, 0.4]",44
"[86, 98]","[88, 97, 55, 88, 18, 62]","[113, 18, 137]","[0.3, 0.0]",28
"[33, 74]","[17, 89, 28, 37, 4, 2]","[20, 121, 88]","[1.2, 0.0]",39
"[60, 60]","[79, 28, 36, 5, 6, 80]","[31, 111, 148]","[0.0, 1.1]",66
"[75, 64]","[77, 4, 83, 15, 10, 1]","[82, 77, 83]","[0.0, 5.1]",329
"[64, 92]","[35, 94, 29, 98, 88, 72]","[144, 126, 90]","[0.0, 1.2]",115
"[24, 36]","[85, 28, 30, 58, 88, 74]","[8, 6, 46]","[0.1, 0.1]",4
"[48, 57]","[72, 17, 93, 30, 78, 56]","[33, 16, 121]","[0.0, 0.5]",30
"[24, 16]","[83, 38, 30, 34, 57, 41]","[20, 67, 24]","[0.0, 0.5]",8
"[11, 56]","[88, 70, 90, 41, 55, 60]","[135, 78, 1]","[0.0, 0.0]",1
"[94, 17]","[91, 65, 93, 88, 77, 55]","[128, 140, 146]","[1.4, 0.0]",132
"[25, 36]","[70, 13, 45, 9, 81, 10]","[51, 47, 47]","[0.0, 3.9]",141
"[64, 23]","[32, 52, 41, 49, 100, 51]","[88, 35, 75]","[0.8, 0.0]",48
"[37, 85]","[3, 11, 17, 29, 39, 99]","[117, 132, 101]","[2.6, 0.0]",96
"[78, 89]","[56, 55, 94, 6, 82, 76]","[33, 110, 41]","[0.0, 0.5]",48
"[50, 15]","[63, 87, 78, 9, 71, 25]","[95, 91, 28]","[0.4, 0.0]",20
"[45, 85]","[44, 57, 42, 33, 96, 37]","[62, 37, 148]","[0.0, 1.1]",92
"[49, 60]","[49, 65, 59, 23, 7, 81]","[38, 29, 135]","[0.4, 0.3]",36
"[50, 29]","[17, 26, 35, 64, 86, 9]","[141, 76, 78]","[0.8, 0.7]",63
"[85, 19]","[9, 7, 40, 75, 14, 64]","[143, 28, 58]","[0.7, 0.0]",59
"[65, 70]","[98, 44, 64, 48, 32, 31]","[128, 43, 91]","[0.0, 0.9]",63
"[85, 47]","[40, 27, 18, 98, 21, 48]","[113, 19, 118]","[1.1, 0.0]",90
"[31, 23]","[25, 87, 63, 18, 4, 54]","[101, 53, 77]","[0.6, 1.0]",40
"[65, 68]","[63, 30, 72, 36, 71, 79]","[10, 147, 148]","[0.0, 0.3]",23
"[75, 88]","[94, 45, 22, 93, 93, 85]","[140, 57, 121]","[0.9, 0.4]",105
"[70, 84]","[71, 14, 44, 71, 4, 68]","[49, 34, 128]","[0.7, 0.1]",52
"[90, 97]","[45, 75, 40, 52, 45, 82]","[113, 77, 4]","[0.1, 0.0]",8
"[46, 66]","[85, 18, 2, 66, 50, 3]","[106, 83, 34]","[0.6, 1.2]",110
"[64, 38]","[83, 30, 45, 91, 13, 37]","[136, 120, 33]","[1.5, 0.4]",110
"[33, 83]","[22, 56, 15, 13, 22, 89]","[128, 66, 101]","[4.3, 0.1]",148
"[29, 40]","[52, 12, 51, 93, 22, 74]","[82, 43, 12]","[0.5, 0.0]",16
"[73, 83]","[8, 75, 94, 42, 96, 86]","[54, 65, 17]","[0.0, 0.2]",16
"[45, 5]","[52, 64, 52, 2, 23, 26]","[30, 3, 51]","[0.0, 0.4]",4
"[78, 35]","[27, 24, 41, 95, 89, 1]","[7, 110, 21]","[0.2, 0.0]",19
"[85, 6]","[94, 17, 51, 35, 86, 25]","[24, 94, 24]","[0.3, 0.0]",22
"[68, 61]","[36, 21, 95, 37, 12, 3]","[11, 113, 111]","[0.0, 0.5]",32
"[39, 29]","[82, 75, 76, 36, 56, 55]","[4, 68, 62]","[0.0, 0.0]",2
"[6, 28]","[61, 38, 27, 19, 98, 9]","[35, 118, 134]","[0.0, 0.9]",26
"[92, 97]","[61, 45, 1, 48, 27, 12]","[103, 135, 76]","[0.0, 2.3]",222
"[50, 36]","[21, 76, 91, 84, 47, 70]","[61, 139, 63]","[1.3, 0.0]",67
"[44, 9]","[81, 25, 1, 84, 40, 4]","[23, 67, 83]","[0.3, 0.0]",12
"[64, 58]","[9, 97, 16, 57, 92, 34]","[39, 123, 136]","[1.4, 0.3]",104
"[33, 14]","[41, 2, 86, 56, 85, 32]","[47, 12, 128]","[0.1, 0.0]",5
"[93, 34]","[31, 36, 38, 86, 9, 58]","[101, 7, 31]","[0.2, 0.0]",17
"[29, 41]","[35, 65, 28, 51, 12, 98]","[48, 101, 134]","[1.4, 0.0]",40
"[7, 84]","[81, 100, 89, 39, 30, 41]","[18, 23, 76]","[0.0, 0.2]",15
"[59, 42]","[69, 43, 90, 76, 41, 59]","[128, 31, 130]","[0.3, 0.0]",20
"[59, 95]","[80, 47, 98, 34, 32, 48]","[51, 99, 123]","[0.0, 1.1]",103
"[25, 73]","[89, 14, 96, 32, 25, 77]","[91, 86, 80]","[0.6, 0.8]",77
"[41, 1]","[62, 79, 37, 40, 97, 14]","[44, 127, 45]","[0.5, 0.0]",19
"[48, 31]","[39, 28, 97, 53, 34, 31]","[95, 19, 69]","[0.0, 0.4]",11
"[3, 44]","[94, 95, 70, 71, 27, 13]","[52, 67, 51]","[0.0, 0.5]",24
"[23, 23]","[57, 37, 4, 33, 100, 62]","[93, 12, 79]","[0.6, 0.3]",21
"[19, 14]","[26, 74, 74, 75, 12, 93]","[65, 89, 72]","[1.2, 0.0]",23
"[47, 11]","[89, 2, 10, 6, 45, 36]","[120, 99, 55]","[1.2, 0.0]",57
"[34, 69]","[19, 11, 22, 63, 56, 30]","[86, 21, 2]","[0.0, 0.1]",5
"[97, 33]","[6, 89, 41, 11, 12, 5]","[99, 11, 140]","[0.0, 1.0]",33
"[94, 92]","[85, 56, 40, 89, 93, 56]","[121, 40, 129]","[1.0, 0.0]",94
"[89, 75]","[43, 32, 5, 50, 43, 67]","[109, 9, 67]","[1.6, 0.0]",139
"[79, 47]","[72, 86, 24, 89, 30, 47]","[14, 42, 75]","[0.2, 0.0]",15
"[27, 59]","[78, 73, 36, 93, 15, 56]","[22, 23, 35]","[0.1, 0.2]",15
"[42, 40]","[35, 21, 13, 36, 19, 73]","[146, 56, 146]","[4.1, 0.1]",176
"[12, 14]","[7, 37, 98, 6, 90, 73]","[24, 126, 112]","[0.8, 0.5]",17
"[80, 50]","[33, 86, 46, 87, 40, 89]","[72, 92, 18]","[0.5, 0.0]",36
"[54, 60]","[78, 35, 85, 35, 45, 18]","[63, 26, 103]","[0.0, 0.7]",45
"[6, 21]","[82, 61, 59, 72, 76, 46]","[37, 8, 1]","[0.0, 0.0]",0
"[3, 89]","[50, 49, 67, 71, 21, 65]","[25, 87, 68]","[0.0, 0.5]",45
"[43, 47]","[20, 28, 51, 57, 14, 80]","[16, 23, 150]","[0.5, 0.0]",19
"[73, 79]","[14, 72, 89, 39, 28, 90]","[62, 68, 41]","[0.7, 0.3]",68
"[64, 70]","[81, 27, 13, 35, 80, 25]","[3, 88, 11]","[0.0, 0.1]",8
"[98, 73]","[83, 85, 85, 37, 39, 46]","[111, 68, 41]","[0.7, 0.3]",89
"[41, 6]","[39, 28, 18, 73, 29, 36]","[69, 85, 142]","[1.8, 0.0]",73
"[76, 88]","[53, 33, 27, 88, 91, 7]","[31, 100, 140]","[0.0, 0.9]",83
"[78, 20]","[53, 65, 30, 62, 4, 86]","[89, 77, 112]","[1.7, 0.0]",131
"[22, 77]","[74, 35, 82, 87, 10, 38]","[33, 142, 145]","[0.0, 0.9]",73
"[1, 49]","[72, 3, 36, 62, 99, 89]","[2, 83, 146]","[0.0, 0.7]",33
"[14, 44]","[97, 34, 94, 62, 44, 17]","[113, 42, 48]","[0.0, 0.7]",30
"[83, 73]","[40, 63, 48, 65, 61, 42]","[125, 120, 80]","[0.1, 1.8]",137
"[18, 16]","[98, 37, 30, 43, 10, 34]","[41, 144, 81]","[0.0, 1.1]",18
"[96, 85]","[32, 86, 64, 4, 54, 64]","[125, 28, 105]","[0.4, 1.3]",146
"[7, 16]","[18, 92, 58, 67, 34, 34]","[79, 25, 142]","[0.0, 0.4]",6
"[49, 9]","[44, 16, 28, 41, 79, 6]","[56, 28, 16]","[0.2, 0.6]",13
"[39, 67]","[22, 71, 40, 20, 94, 40]","[39, 94, 90]","[0.8, 0.3]",52
"[74, 44]","[52, 53, 87, 48, 27, 87]","[144, 80, 1]","[0.0, 0.0]",3
"[35, 81]","[100, 74, 66, 47, 43, 51]","[83, 37, 101]","[0.0, 0.8]",64
"[22, 29]","[98, 23, 20, 100, 32, 48]","[138, 59, 26]","[0.8, 0.0]",18
"[66, 64]","[50, 94, 96, 92, 92, 20]","[90, 78, 59]","[0.0, 0.8]",54
"[34, 19]","[69, 94, 40, 75, 61, 88]","[109, 123, 63]","[1.0, 0.0]",35
"[38, 2]","[40, 10, 52, 5, 16, 96]","[145, 54, 66]","[1.0, 0.0]",39
"[87, 55]","[33, 30, 33, 100, 14, 98]","[119, 146, 130]","[3.6, 0.0]",314
"[92, 83]","[64, 90, 43, 5, 42, 80]","[107, 75, 73]","[1.7, 0.0]",154
"[73, 99]","[26, 93, 61, 55, 9, 62]","[137, 77, 102]","[0.0, 1.4]",139
"[75, 81]","[40, 94, 31, 9, 37, 85]","[33, 25, 112]","[0.8, 0.0]",61
"[4, 68]","[38, 83, 23, 91, 94, 74]","[41, 113, 45]","[0.0, 0.5]",34
"[76, 20]","[53, 68, 96, 40, 58, 56]","[15, 112, 117]","[0.3, 0.0]",22
"[60, 22]","[65, 96, 94, 55, 93, 55]","[23, 111, 135]","[0.4, 0.0]",21
"[70, 9]","[85, 12, 4, 66, 72, 40]","[3, 103, 53]","[0.0, 0.0]",2
"[43, 87]","[25, 81, 5, 92, 69, 52]","[6, 33, 42]","[0.2, 0.0]",10
"[26, 22]","[2, 37, 99, 19, 2, 87]","[18, 120, 64]","[1.1, 0.4]",39
"[85, 13]","[57, 11, 38, 95, 80, 98]","[49, 8, 130]","[0.2, 0.0]",18
"[89, 34]","[29, 56, 85, 9, 99, 41]","[81, 62, 24]","[0.2, 0.0]",22
"[94, 96]","[53, 39, 45, 77, 3, 34]","[109, 38, 35]","[0.8, 0.0]",79
"[72, 96]","[41, 84, 97, 35, 69, 60]","[83, 6, 113]","[0.0, 0.2]",16
"[22, 17]","[22, 88, 94, 22, 92, 58]","[24, 56, 45]","[0.4, 0.2]",11
"[28, 43]","[12, 48, 98, 72, 79, 65]","[80, 57, 52]","[0.0, 0.8]",34
"[39, 19]","[40, 53, 14, 73, 94, 16]","[86, 51, 32]","[0.2, 0.7]",21
"[25, 73]","[69, 57, 8, 28, 16, 59]","[114, 37, 95]","[0.7, 1.1]",100
"[5, 27]","[35, 58, 33, 63, 78, 34]","[75, 115, 99]","[0.0, 1.3]",35
"[29, 37]","[14, 94, 76, 99, 55, 68]","[133, 103, 62]","[0.0, 0.9]",34
"[80, 74]","[34, 76, 23, 75, 91, 6]","[127, 70, 129]","[1.4, 0.5]",148
"[51, 61]","[4, 66, 27, 91, 82, 77]","[135, 123, 51]","[0.0, 0.7]",40
"[79, 6]","[1, 97, 22, 77, 57, 19]","[84, 70, 67]","[1.2, 0.0]",93
"[33, 3]","[31, 95, 24, 45, 41, 70]","[2, 118, 85]","[0.1, 0.0]",2
"[5, 24]","[95, 96, 45, 51, 73, 95]","[130, 31, 85]","[0.0, 0.6]",15
"[3, 70]","[20, 94, 36, 3, 73, 51]","[47, 131, 87]","[0.0, 0.5]",35
"[6, 34]","[90, 67, 65, 14, 53, 46]","[5, 137, 63]","[0.0, 0.1]",3
"[45, 63]","[29, 61, 20, 75, 92, 42]","[33, 25, 10]","[0.0, 0.2]",15
"[61, 52]","[58, 7, 33, 8, 52, 9]","[59, 130, 49]","[0.0, 5.4]",283
"[68, 45]","[54, 30, 54, 41, 36, 98]","[119, 108, 88]","[2.0, 0.0]",136
"[20, 84]","[34, 27, 19, 26, 81, 54]","[40, 27, 134]","[0.0, 1.0]",87
"[54, 80]","[87, 91, 54, 58, 82, 54]","[97, 48, 125]","[0.0, 0.8]",66
"[25, 42]","[69, 77, 25, 75, 9, 76]","[25, 113, 122]","[0.0, 0.3]",14
"[23, 54]","[42, 72, 10, 20, 29, 54]","[72, 150, 47]","[0.0, 0.9]",47
"[22, 17]","[16, 27, 33, 80, 60, 72]","[106, 96, 7]","[0.1, 0.0]",3
"[2, 48]","[87, 8, 20, 46, 50, 98]","[75, 11, 67]","[0.0, 0.2]",11
"[39, 7]","[31, 97, 40, 75, 70, 86]","[3, 39, 82]","[0.1, 0.0]",4
"[96, 95]","[71, 37, 96, 57, 88, 68]","[121, 111, 149]","[0.0, 1.9]",185
"[6, 86]","[77, 100, 53, 82, 76, 26]","[132, 21, 142]","[0.0, 0.3]",22
"[18, 57]","[71, 65, 10, 80, 8, 61]","[124, 46, 55]","[1.4, 0.4]",48
"[84, 62]","[5, 70, 53, 52, 54, 39]","[117, 108, 106]","[1.8, 0.3]",165
"[49, 25]","[67, 3, 28, 68, 60, 83]","[27, 117, 84]","[0.4, 0.7]",37
"[40, 95]","[11, 91, 77, 38, 52, 33]","[10, 32, 112]","[0.4, 0.1]",21
"[61, 5]","[25, 59, 57, 35, 21, 77]","[83, 77, 67]","[1.4, 0.0]",82
"[18, 96]","[10, 20, 51, 3, 97, 57]","[74, 108, 63]","[0.0, 1.1]",106
"[35, 85]","[18, 28, 65, 19, 49, 54]","[102, 150, 23]","[0.0, 0.4]",36
"[25, 71]","[3, 96, 54, 45, 36, 72]","[68, 109, 150]","[1.5, 0.7]",84
"[35, 90]","[48, 94, 44, 33, 80, 49]","[128, 70, 103]","[0.0, 1.4]",123
"[3, 61]","[82, 26, 30, 54, 97, 22]","[40, 110, 33]","[0.0, 1.5]",92
"[75, 92]","[16, 58, 98, 73, 2, 86]","[135, 42, 150]","[0.0, 0.6]",53
"[89, 68]","[25, 93, 82, 79, 34, 37]","[117, 139, 146]","[1.7, 0.0]",151
"[88, 57]","[59, 11, 51, 96, 73, 35]","[81, 93, 148]","[1.3, 0.3]",132
"[27, 96]","[6, 62, 61, 84, 67, 83]","[79, 33, 62]","[0.0, 0.4]",38
"[16, 69]","[49, 85, 7, 49, 10, 97]","[102, 44, 89]","[0.7, 0.8]",66
"[54, 41]","[53, 9, 5, 10, 48, 32]","[59, 40, 50]","[0.0, 1.6]",64
"[44, 22]","[84, 46, 23, 42, 49, 62]","[141, 33, 136]","[1.4, 0.0]",63
"[59, 14]","[79, 83, 6, 26, 89, 88]","[67, 93, 35]","[0.4, 0.0]",23
"[30, 3]","[12, 17, 100, 46, 61, 28]","[102, 141, 8]","[0.1, 0.0]",4
"[90, 51]","[92, 47, 37, 65, 94, 19]","[136, 20, 133]","[0.5, 0.0]",49
"[88, 72]","[85, 63, 11, 46, 8, 71]","[32, 73, 132]","[0.0, 0.5]",37
"[82, 53]","[21, 4, 99, 8, 3, 88]","[7, 5, 29]","[0.0, 0.3]",19
"[93, 42]","[5, 3, 24, 67, 82, 15]","[68, 61, 66]","[0.7, 0.7]",91
"[25, 58]","[14, 49, 47, 35, 16, 11]","[37, 25, 28]","[0.0, 0.7]",41
"[36, 92]","[18, 29, 14, 37, 63, 98]","[120, 64, 59]","[0.0, 0.6]",55
"[41, 80]","[64, 72, 75, 58, 8, 21]","[125, 34, 106]","[0.0, 0.6]",47
"[58, 83]","[53, 26, 39, 24, 19, 22]","[74, 107, 128]","[0.0, 2.8]",236
"[23, 28]","[75, 76, 19, 68, 82, 12]","[26, 112, 143]","[0.0, 0.3]",10
